Player,Conference,Team,Position,RecYds,RushYds,TDs
Saquon Barkley,NFC,PHI,RB,278,2005,15
Derrick Henry,AFC,BAL,RB,193,1921,18
Jahmyr Gibbs,NFC,DET,RB,517,1412,20
Bijan Robinson,NFC,ATL,RB,431,1456,15
Ja'Marr Chase,AFC,CIN,WR,1708,32,17
Josh Jacobs,NFC,GNB,RB,342,1329,16
Jonathan Taylor,AFC,IND,RB,136,1431,12
Aaron Jones,NFC,MIN,RB,408,1138,7
Justin Jefferson,NFC,MIN,WR,1533,3,10
Bucky Irving,NFC,TAM,RB,392,1122,8
James Conner,NFC,ARI,RB,414,1094,9
De'Von Achane,AFC,MIA,RB,592,907,12
Alvin Kamara,NFC,NOR,RB,543,950,8
Kyren Williams,NFC,LAR,RB,182,1299,16
Chuba Hubbard,NFC,CAR,RB,171,1195,11
Breece Hall,AFC,NYJ,RB,483,876,8
Chase Brown,AFC,CIN,RB,360,990,11
D'Andre Swift,NFC,CHI,RB,386,959,6
Brian Thomas,AFC,JAX,WR,1282,48,10
Rico Dowdle,NFC,DAL,RB,249,1079,5
Najee Harris,AFC,PIT,RB,283,1043,6
Joe Mixon,AFC,HOU,RB,309,1016,12
Tony Pollard,AFC,TEN,RB,238,1079,5
Amon-Ra St. Brown,NFC,DET,WR,1263,6,12
Drake London,NFC,ATL,WR,1271,-3,9
James Cook,AFC,BUF,RB,258,1009,18
CeeDee Lamb,NFC,DAL,WR,1194,70,6
Jerry Jeudy,AFC,CLE,WR,1229,0,4
Brock Bowers,AFC,LVR,TE,1194,13,5
Malik Nabers,NFC,NYG,WR,1204,2,7
Jaxon Smith-Njigba,NFC,SEA,WR,1130,26,6
Ladd McConkey,AFC,LAC,WR,1149,0,7
Trey McBride,NFC,ARI,TE,1146,2,3
Tyrone Tracy Jr.,NFC,NYG,RB,284,839,6
David Montgomery,NFC,DET,RB,341,775,12
Zay Flowers,AFC,BAL,WR,1059,56,4
Garrett Wilson,AFC,NYJ,WR,1104,5,7
George Kittle,NFC,SFO,TE,1106,0,8
Terry McLaurin,NFC,WAS,WR,1096,2,13
Courtland Sutton,AFC,DEN,WR,1081,0,8
A.J. Brown,NFC,PHI,WR,1079,0,7
Calvin Ridley,AFC,TEN,WR,1017,55,5
Davante Adams,AFC,NYJ,WR,1063,0,8
Jameson Williams,NFC,DET,WR,1001,61,8
J.K. Dobbins,AFC,LAC,RB,153,905,9
Jakobi Meyers,AFC,LVR,WR,1027,23,4
D.J. Moore,NFC,CHI,WR,966,75,6
Puka Nacua,NFC,LAR,WR,990,46,4
Jayden Reed,NFC,GNB,WR,857,163,7
Tyreek Hill,AFC,MIA,WR,959,53,6
Nico Collins,AFC,HOU,WR,1006,0,7
Rachaad White,NFC,TAM,RB,393,613,9
Mike Evans,NFC,TAM,WR,1004,0,11
D.K. Metcalf,NFC,SEA,WR,992,0,5
Darnell Mooney,NFC,ATL,WR,992,0,5
Jauan Jennings,NFC,SFO,WR,975,0,6
Rhamondre Stevenson,AFC,NWE,RB,168,801,8
Brian Robinson Jr.,NFC,WAS,RB,159,799,8
Lamar Jackson,AFC,BAL,QB,0,915,4
Tee Higgins,AFC,CIN,WR,911,0,10
Zach Charbonnet,NFC,SEA,RB,340,569,9
Kareem Hunt,AFC,KAN,RB,176,728,7
Jordan Addison,NFC,MIN,WR,875,20,10
George Pickens,AFC,PIT,WR,900,-6,3
Jayden Daniels,NFC,WAS,QB,0,891,6
Marvin Harrison Jr.,NFC,ARI,WR,885,0,8
Jonnu Smith,AFC,MIA,TE,884,-1,8
Jordan Mason,NFC,SFO,RB,91,789,3
Kenneth Walker III,NFC,SEA,RB,299,573,8
Javonte Williams,AFC,DEN,RB,346,513,4
DeVonta Smith,NFC,PHI,WR,833,1,8
Khalil Shakir,AFC,BUF,WR,821,4,4
Travis Kelce,AFC,KAN,TE,823,1,3
Alec Pierce,AFC,IND,WR,824,0,7
Jaylen Warren,AFC,PIT,RB,310,511,1
Tank Bigsby,AFC,JAX,RB,54,766,7
Josh Downs,AFC,IND,WR,803,12,5
Travis Etienne,AFC,JAX,RB,254,558,2
Michael Pittman Jr.,AFC,IND,WR,808,0,3
Deebo Samuel,NFC,SFO,WR,670,136,4
Jerome Ford,AFC,CLE,RB,225,565,3
Ray-Ray McCloud,NFC,ATL,WR,686,79,1
Rashod Bateman,AFC,BAL,WR,756,0,9
Jaylen Waddle,AFC,MIA,WR,744,12,2
Rome Odunze,NFC,CHI,WR,734,15,3
Keenan Allen,NFC,CHI,WR,744,0,7
Antonio Gibson,AFC,NWE,RB,206,538,1
Xavier Worthy,AFC,KAN,WR,638,104,9
Austin Ekeler,NFC,WAS,RB,366,367,4
Tyler Allgeier,NFC,ATL,RB,88,644,3
Sam LaPorta,NFC,DET,TE,726,0,7
Cooper Kupp,NFC,LAR,WR,710,10,6
Quentin Johnston,AFC,LAC,WR,711,6,8
Wan'Dale Robinson,NFC,NYG,WR,699,18,3
Alexander Mattison,AFC,LVR,RB,294,420,5
Tucker Kraft,NFC,GNB,TE,707,6,7
Tank Dell,AFC,HOU,WR,667,43,3
Mark Andrews,AFC,BAL,TE,673,5,11
Hunter Henry,AFC,NWE,TE,674,0,2
Mike Gesicki,AFC,CIN,TE,665,0,2
Zach Ertz,NFC,WAS,TE,654,0,7
Pat Freiermuth,AFC,PIT,TE,653,0,7
Christian Watson,NFC,GNB,WR,620,23,2
Demario Douglas,AFC,NWE,WR,621,16,3
Ray Davis,AFC,BUF,RB,189,442,6
Jalen Hurts,NFC,PHI,QB,0,630,14
Adam Thielen,NFC,CAR,WR,615,0,5
Justice Hill,AFC,BAL,RB,383,228,4
Jalen Tolbert,NFC,DAL,WR,610,0,7
DeAndre Hopkins,AFC,TEN,WR,173,0,1
DeAndre Hopkins,AFC,KAN,WR,437,0,4
Kyle Pitts,NFC,ATL,TE,602,0,4
Romeo Doubs,NFC,GNB,WR,601,0,4
Tyler Lockett,NFC,SEA,WR,600,0,2
Cade Otton,NFC,TAM,TE,600,-4,4
Darius Slayton,NFC,NYG,WR,573,17,2
Kayshon Boutte,AFC,NWE,WR,589,0,3
Josh Palmer,AFC,LAC,WR,584,0,1
Tre Tucker,AFC,LVR,WR,539,44,4
Chris Godwin,NFC,TAM,WR,576,2,5
Ameer Abdullah,AFC,LVR,RB,261,311,5
Jaleel McLaughlin,AFC,DEN,RB,76,496,3
Kyler Murray,NFC,ARI,QB,0,572,5
Tutu Atwell,NFC,LAR,WR,562,7,0
Keon Coleman,AFC,BUF,WR,556,9,4
Devin Singletary,NFC,NYG,RB,119,437,4
Michael Wilson,NFC,ARI,WR,548,7,4
Emanuel Wilson,NFC,GNB,RB,48,502,5
Calvin Austin III,AFC,PIT,WR,548,0,4
Juwan Johnson,NFC,NOR,TE,548,0,3
Amari Cooper,AFC,CLE,WR,250,0,2
Amari Cooper,AFC,BUF,WR,297,0,2
Marvin Mims,AFC,DEN,WR,503,42,6
Elijah Moore,AFC,CLE,WR,538,1,1
Josh Allen,AFC,BUF,QB,7,531,13
Tyjae Spears,AFC,TEN,RB,224,312,5
Dalton Schultz,AFC,HOU,TE,532,0,2
Allen Lazard,AFC,NYJ,WR,530,0,6
Xavier Legette,NFC,CAR,WR,497,24,4
Olamide Zaccheaus,NFC,WAS,WR,506,8,3
KaVontae Turpin,NFC,DAL,WR,420,92,2
Cam Akers,AFC,HOU,RB,16,147,2
Cam Akers,NFC,MIN,RB,52,297,3
David Njoku,AFC,CLE,TE,505,0,5
Demarcus Robinson,NFC,LAR,WR,505,0,7
Stefon Diggs,AFC,HOU,WR,496,8,4
Jalen McMillan,NFC,TAM,WR,461,43,8
Noah Fant,NFC,SEA,TE,500,0,1
Anthony Richardson,AFC,IND,QB,-1,499,6
Ty Johnson,AFC,BUF,RB,284,213,4
Nick Westbrook-Ikhine,AFC,TEN,WR,497,0,9
Dallas Goedert,NFC,PHI,TE,496,0,2
Caleb Williams,NFC,CHI,QB,0,489,0
Braelon Allen,AFC,NYJ,RB,148,334,3
Andrei Iosivas,AFC,CIN,WR,479,0,6
Jalen Coker,NFC,CAR,WR,478,0,2
Isaiah Likely,AFC,BAL,TE,477,0,6
Austin Hooper,AFC,NWE,TE,476,0,3
Devaughn Vele,AFC,DEN,WR,475,0,3
Cole Kmet,NFC,CHI,TE,474,0,4
Taysom Hill,NFC,NOR,TE,187,278,6
T.J. Hockenson,NFC,MIN,TE,455,0,0
Noah Brown,NFC,WAS,WR,453,0,1
Tyler Conklin,AFC,NYJ,TE,449,0,4
Dalton Kincaid,AFC,BUF,TE,448,0,2
Ricky Pearsall,NFC,SFO,WR,400,45,3
Raheem Mostert,AFC,MIA,RB,161,278,2
Noah Gray,AFC,KAN,TE,437,-4,5
Bo Nix,AFC,DEN,QB,2,430,5
Zack Moss,AFC,CIN,RB,187,242,3
Drake Maye,AFC,NWE,QB,0,421,2
Dontayvion Wicks,NFC,GNB,WR,415,0,5
Marquez Valdes-Scantling,NFC,NOR,WR,411,4,4
Samaje Perine,AFC,KAN,RB,322,92,2
Foster Moreau,NFC,NOR,TE,413,0,5
Jalen Nailor,NFC,MIN,WR,414,-4,6
Chris Olave,NFC,NOR,WR,400,7,1
Kenneth Gainwell,NFC,PHI,RB,116,290,1
Sterling Shepard,NFC,TAM,WR,334,69,1
Tim Patrick,NFC,DET,WR,394,0,3
Tyler Boyd,AFC,TEN,WR,390,3,0
Parker Washington,AFC,JAX,WR,390,0,3
Isiah Pacheco,AFC,KAN,RB,79,310,1
Christian Kirk,AFC,JAX,WR,379,0,1
Mack Hollins,AFC,BUF,WR,378,0,5
Baker Mayfield,NFC,TAM,QB,0,378,3
Rashid Shaheed,NFC,NOR,WR,349,29,3
Brandon Aiyuk,NFC,SFO,WR,374,0,0
Greg Dortch,NFC,ARI,WR,342,31,3
Gus Edwards,AFC,LAC,RB,6,365,4
Evan Engram,AFC,JAX,TE,365,0,1
Nick Chubb,AFC,CLE,RB,31,332,4
Miles Sanders,NFC,CAR,RB,148,205,3
David Moore,NFC,CAR,WR,351,0,3
Trey Benson,NFC,ARI,RB,59,291,1
Christian McCaffrey,NFC,SFO,RB,146,202,0
Audric Estime,AFC,DEN,RB,27,310,2
Dyami Brown,NFC,WAS,WR,308,26,1
Cedric Tillman,AFC,CLE,WR,339,-5,3
Brock Purdy,NFC,SFO,QB,0,323,5
Adonai Mitchell,AFC,IND,WR,312,6,0
Kendrick Bourne,AFC,NWE,WR,305,6,1
Dawson Knox,AFC,BUF,TE,311,0,1
Patrick Mahomes,AFC,KAN,QB,2,307,2
Justin Herbert,AFC,LAC,QB,0,306,2
Jordan Whittington,NFC,LAR,WR,293,12,0
Mike Williams,AFC,NYJ,WR,166,0,0
Mike Williams,AFC,PIT,WR,132,0,1
Ezekiel Elliott,NFC,DAL,RB,69,226,3
Dameon Pierce,AFC,HOU,RB,2,293,2
Lil'Jordan Humphrey,AFC,DEN,WR,293,0,1
Tyler Johnson,NFC,LAR,WR,291,0,1
Justin Fields,AFC,PIT,QB,0,289,5
Rashee Rice,AFC,KAN,WR,288,1,2
Justin Watson,AFC,KAN,WR,289,0,2
Jeremy McNichols,NFC,WAS,RB,27,261,4
D'Onta Foreman,AFC,CLE,RB,54,232,0
Van Jefferson,AFC,PIT,WR,276,0,2
Geno Smith,NFC,SEA,QB,0,272,2
Troy Franklin,AFC,DEN,WR,263,8,2
Curtis Samuel,AFC,BUF,WR,253,14,1
Blake Corum,NFC,LAR,RB,58,207,0
Daniel Jones,NFC,NYG,QB,0,265,2
Trey Sermon,AFC,IND,RB,99,159,2
Jaylen Wright,AFC,MIA,RB,8,249,0
Brandin Cooks,NFC,DAL,WR,259,-3,3
Roschon Johnson,NFC,CHI,RB,104,150,6
John Metchie,AFC,HOU,WR,254,0,1
Chris Brooks,NFC,GNB,RB,69,183,1
Isaiah Davis,AFC,NYJ,RB,75,174,2
Bryce Young,NFC,CAR,QB,0,249,6
Malik Washington,AFC,MIA,WR,223,25,1
Luke Schoonmaker,NFC,DAL,TE,241,0,1
Gabriel Davis,AFC,JAX,WR,239,0,2
C.J. Stroud,AFC,HOU,QB,0,233,0
Nelson Agholor,AFC,BAL,WR,231,0,2
JuJu Smith-Schuster,AFC,KAN,WR,231,0,2
Jahan Dotson,NFC,PHI,WR,216,13,0
Kyle Juszczyk,NFC,SFO,FB,200,26,3
Ty Chandler,NFC,MIN,RB,42,182,0
Jamaal Williams,NFC,NOR,RB,57,164,1
Cordarrelle Patterson,AFC,PIT,RB,80,135,1
Tyler Goodson,AFC,IND,RB,61,153,2
Zamir White,AFC,LVR,RB,30,183,1
Sam Darnold,NFC,MIN,QB,0,212,1
Cedrick Wilson Jr.,NFC,NOR,WR,211,0,1
Carson Steele,AFC,KAN,RB,26,183,0
Robert Woods,AFC,HOU,WR,203,0,0
Joe Burrow,AFC,CIN,QB,0,201,2
Kenny McIntosh,NFC,SEA,RB,22,172,0
Will Levis,AFC,TEN,QB,0,183,0
Kendre Miller,NFC,NOR,RB,33,148,1
Trey Palmer,NFC,TAM,WR,172,0,1
Jonathan Mingo,NFC,DAL,WR,46,0,0
Luke McCaffrey,NFC,WAS,WR,168,0,0
Russell Wilson,AFC,PIT,QB,0,155,2
Khalil Herbert,AFC,CIN,RB,21,114,0
Mecole Hardman,AFC,KAN,WR,90,62,1
Deshaun Watson,AFC,CLE,QB,0,148,1
Mo Alie-Cox,AFC,IND,TE,147,0,1
